week,best long-term counter,best estimate,actual,best error
14,Berri12014,2497.07563198,2408.63679245,88.4388395301
15,Berri12014,2323.70941426,2408.63679245,-84.9273781947
16,Maisonneuve_22014,2347.54956155,2408.63679245,-61.0872309001
17,Parc2014,2398.3324676,2408.63679245,-10.3043248548
18,Berri12014,2437.67977176,2408.63679245,29.0429793112
19,Maisonneuve_22014,2391.93083576,2408.63679245,-16.7059566952
20,CSC2014,2405.01548854,2408.63679245,-3.62130391372
21,CSC2014,2412.00211156,2408.63679245,3.36531910278
22,Berri12014,2408.18465865,2408.63679245,-0.45213379923
23,Maisonneuve_22014,2364.19688085,2408.63679245,-44.439911602
24,CSC2014,2390.0690356,2408.63679245,-18.567756852
25,Berri12014,2328.9070199,2408.63679245,-79.7297725519
26,Berri12014,2395.55571862,2408.63679245,-13.0810738334
27,Berri12014,2433.81453764,2408.63679245,25.1777451921
28,Maisonneuve_22014,2342.29356173,2408.63679245,-66.3432307202
29,Maisonneuve_22014,2384.18087749,2408.63679245,-24.4559149631
30,Berri12014,2398.2263811,2408.63679245,-10.4104113549
31,Parc2014,2420.29723852,2408.63679245,11.6604460687
32,CSC2014,2526.63587856,2408.63679245,117.99908611
33,Maisonneuve_22014,2387.7500713,2408.63679245,-20.8867211544
34,Berri12014,2370.34356011,2408.63679245,-38.2932323388
35,Parc2014,2420.47794595,2408.63679245,11.8411535001
36,Berri12014,2407.80213267,2408.63679245,-0.834659784286
37,Maisonneuve_22014,2366.52819418,2408.63679245,-42.1085982758
38,Maisonneuve_22014,2439.0517581,2408.63679245,30.4149656499
39,Maisonneuve_22014,2407.5922168,2408.63679245,-1.04457565003
40,Maisonneuve_22014,2373.7833452,2408.63679245,-34.8534472505
41,Maisonneuve_22014,2369.16475232,2408.63679245,-39.4720401334
42,CSC2014,2349.22321437,2408.63679245,-59.4135780842
43,CSC2014,2410.14077669,2408.63679245,1.50398423832
44,Maisonneuve_22014,2503.98120301,2408.63679245,95.3444105578
