Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,Rachel1,Rachel1 IN,Rachel1 OUT
01/01/2011,00:00,5962,3093,2869,244,153,91,3581,1886,1695,9483,5262,4221,4964,1994,2970,3202,1751,1451
01/02/2011,00:00,4985,2464,2521,567,407,160,2834,1175,1659,7594,4335,3259,3245,1298,1947,1865,1020,845
01/03/2011,00:00,11019,5224,5795,2949,1914,1035,6531,3534,2997,18213,10008,8205,9548,3421,6127,8507,4400,4107
01/04/2011,00:00,26194,12613,13581,21249,12592,8657,30769,17085,13684,61037,32568,28469,33715,13487,20228,50754,25930,24824
01/05/2011,00:00,11397,5906,5491,42244,25565,16679,71553,38480,33073,128270,67578,60692,65050,27324,37726,99807,52117,47690
01/06/2011,00:00,156201,73041,83160,58930,35061,23869,107965,60385,47580,177171,93944,83227,91304,39236,52068,136039,74338,61701
01/07/2011,00:00,135518,62891,72627,56952,33915,23037,104648,57506,47142,189294,100631,88663,89529,37285,52244,145809,79815,65994
01/08/2011,00:00,136020,64395,71625,56531,33710,22821,94448,51169,43279,172768,91934,80834,84346,34540,49806,141609,71580,70029
01/09/2011,00:00,136916,66331,70585,48886,24509,24377,90651,50359,40292,170008,89697,80311,93909,38596,55313,129548,65775,63773
01/10/2011,00:00,83563,38668,44895,8924,881,8043,58733,33710,25023,112512,59574,52938,66549,28736,37813,94489,56628,37861
01/11/2011,00:00,33571,16302,17269,19352,11245,8107,35625,20505,15120,70920,37961,32959,45809,19164,26645,58841,30728,28113
01/12/2011,00:00,14652,7277,7375,5479,2995,2484,10101,6032,4069,19564,10791,8773,12656,4833,7823,18057,9031,9026
01/01/2012,00:00,4915,2112,2803,38,28,10,3308,1634,1674,7737,4378,3359,3088,1246,1842,1140,600,540
01/02/2012,00:00,6712,3077,3635,51,42,9,4573,2371,2202,10226,5149,5077,4852,1735,3117,73,25,48
01/03/2012,00:00,26229,12846,13383,11388,6799,4589,18194,10321,7873,35736,19486,16250,21487,7995,13492,26437,14256,12181
01/04/2012,00:00,67699,31513,36186,29137,17256,11881,49312,28070,21242,85786,45501,40285,46048,18411,27637,71759,36233,35526
01/05/2012,00:00,133277,61761,71516,54360,32465,21895,94224,52160,42064,154562,82537,72025,78355,31189,47166,129590,66367,63223
01/06/2012,00:00,144858,65547,79311,58826,34331,24495,95213,57836,37377,169241,91174,78067,86190,34885,51305,146530,76601,69929
01/07/2012,00:00,162530,72983,89547,59657,35127,24530,101969,61555,40414,182644,97219,85425,88010,35037,52973,150703,80300,70403
01/08/2012,00:00,149241,69746,79495,61589,36498,25091,95110,54310,40800,168572,91166,77406,84261,32902,51359,137377,73633,63744
01/09/2012,00:00,127024,59984,67040,57986,34091,23895,83540,47634,35906,147243,80500,66743,86611,33885,52726,123757,63844,59913
01/10/2012,00:00,94797,46240,48557,45366,25991,19375,63551,36845,26706,115374,61788,53586,71607,28707,42900,93959,46937,47022
01/11/2012,00:00,50294,24113,26181,24172,13138,11034,35709,20711,14998,67558,35907,31651,42151,17232,24919,57334,29066,28268
01/12/2012,00:00,12658,6410,6248,3436,1835,1601,8154,4599,3555,16317,8936,7381,8850,3465,5385,15010,7577,7433
01/01/2013,00:00,6262,2781,3481,324,195,129,3773,2024,1749,8788,4869,3919,3480,1232,2248,7661,3906,3755
01/02/2013,00:00,6352,2860,3492,84,57,27,4103,2301,1802,8896,4984,3912,3886,1184,2702,8062,4319,3743
01/03/2013,00:00,14967,7886,7081,4969,2985,1984,9925,5577,4348,21021,11672,9349,10642,3294,7348,19456,10502,8954
01/04/2013,00:00,62784,30704,32080,31824,18301,13523,41887,23970,17917,75612,40418,35194,44580,16641,27939,73082,38282,34800
01/05/2013,00:00,132359,63820,68539,62229,36190,26039,127812,68484,59328,157711,82597,75114,82382,31814,50568,147274,76073,71201
01/06/2013,00:00,126983,59404,67579,55853,32266,23587,147598,78526,69072,147598,78526,69072,75255,28351,46904,145775,74875,70900
01/07/2013,00:00,153288,71940,81348,61892,35628,26264,174291,92033,82258,174291,92033,82258,85514,31977,53537,168218,85829,82389
01/08/2013,00:00,142058,69018,73040,60420,35117,25303,161215,85819,75396,161215,85819,75396,79378,29357,50021,159005,80332,78673
01/09/2013,00:00,128662,60779,67883,69051,39694,29357,155181,82021,73160,155181,82021,73160,86415,32612,53803,138406,69838,68568
01/10/2013,00:00,102010,47597,54413,52644,29785,22859,127803,67369,60434,127803,67369,60434,75834,28759,47075,107296,54013,53283
01/11/2013,00:00,41926,20399,21527,20932,11404,9528,50270,27110,23160,50270,27110,23160,33874,12899,20975,46932,22901,24031
01/12/2013,00:00,7345,3345,4000,58,32,26,4246,2246,2000,9574,5287,4287,4623,1575,3048,9231,4615,4616
01/01/2014,00:00,6216,3102,3114,1648,989,659,3977,1988,1989,8420,4827,3593,3370,1238,2132,8613,4425,4188
01/02/2014,00:00,6668,2532,4136,2755,1613,1142,4075,2202,1873,8737,5045,3692,2906,1041,1865,9886,5259,4627
01/03/2014,00:00,8464,4300,4164,3453,2010,1443,5454,3007,2447,11732,6492,5240,4690,1333,3357,11423,5865,5558
01/04/2014,00:00,45507,22658,22849,17932,7485,10447,29268,16628,12640,56200,30246,25954,31625,10952,20673,55310,28575,26735
01/05/2014,00:00,117592,55569,62023,53257,29495,23762,76076,42808,33268,133140,70523,62617,72930,27048,45882,136918,71173,65745
01/06/2014,00:00,143901,65348,78553,58278,31357,26921,88802,52942,35860,156649,83554,73095,85236,31689,53547,165926,85317,80609
01/07/2014,00:00,143088,65133,77955,54929,29482,25447,89455,54327,35128,165518,87642,77876,81895,29470,52425,9934,4975,4959
01/08/2014,00:00,130979,61005,69974,54629,29931,24698,83705,47572,36133,154128,82052,72076,84163,33974,50189,3511,1784,1727
01/09/2014,00:00,131047,61392,69655,69743,37273,32470,89878,50701,39177,161600,85336,76264,102914,43411,59503,17247,8526,8721
01/10/2014,00:00,76874,35751,41123,40832,22181,18651,53447,30794,22653,98331,51650,46681,67950,28876,39074,67585,34619,32966
